iter	Passed	Remaining
682	1070	496
683	1072	495
684	1075	494
685	1077	493
686	1079	491
687	1080	490
688	1082	488
689	1083	486
690	1084	485
691	1086	483
692	1087	481
693	1089	480
694	1091	479
695	1093	477
696	1095	476
697	1096	474
698	1098	473
699	1100	471
700	1101	469
701	1103	468
702	1106	467
703	1107	465
704	1109	464
705	1110	462
706	1111	460
707	1113	459
708	1114	457
709	1115	455
710	1117	454
711	1118	452
712	1121	451
713	1122	449
714	1123	447
715	1125	446
716	1126	444
717	1127	442
718	1129	441
719	1130	439
720	1131	437
721	1132	436
722	1135	435
723	1136	433
724	1138	431
725	1139	430
726	1140	428
727	1142	426
728	1143	425
729	1144	423
730	1145	421
731	1147	420
732	1148	418
733	1150	417
734	1152	415
735	1153	413
736	1154	412
737	1156	410
738	1157	408
739	1158	407
740	1159	405
741	1161	403
742	1162	402
743	1164	400
744	1166	399
745	1168	397
746	1169	396
747	1170	394
748	1172	392
749	1173	391
750	1174	389
751	1175	387
752	1177	386
753	1178	384
754	1181	383
755	1182	381
756	1184	380
757	1185	378
758	1187	376
759	1188	375
760	1190	373
761	1191	372
762	1193	370
763	1195	369
764	1196	367
765	1198	366
766	1199	364
767	1200	362
768	1202	361
769	1203	359
770	1204	357
771	1205	356
772	1207	354
773	1210	353
774	1212	351
775	1213	350
776	1214	348
777	1215	346
778	1217	345
779	1218	343
780	1219	342
781	1221	340
782	1222	338
783	1225	337
784	1226	335
785	1227	334
786	1229	332
787	1230	330
788	1231	329
789	1232	327
790	1234	326
791	1235	324
792	1236	322
793	1238	321
794	1240	319
795	1241	318
796	1242	316
797	1244	314
798	1245	313
799	1246	311
800	1247	310
801	1249	308
802	1250	306
803	1251	305
804	1252	303
805	1254	301
806	1255	300
807	1256	298
808	1258	297
809	1259	295
810	1261	293
811	1262	292
812	1263	290
813	1265	289
814	1266	287
815	1268	286
816	1270	284
817	1271	282
818	1273	281
819	1274	279
820	1276	278
821	1278	276
822	1279	275
823	1280	273
824	1283	272
825	1284	270
826	1286	269
827	1287	267
828	1288	265
829	1290	264
830	1291	262
831	1292	261
832	1293	259
833	1295	257
834	1296	256
835	1298	254
836	1300	253
837	1301	251
838	1302	250
839	1304	248
840	1305	246
841	1306	245
842	1307	243
843	1309	241
844	1310	240
845	1312	238
846	1314	237
847	1315	235
848	1316	234
849	1318	232
850	1319	231
851	1320	229
852	1321	227
853	1323	226
854	1324	224
855	1325	223
856	1327	221
857	1329	219
858	1330	218
859	1331	216
860	1332	215
861	1333	213
862	1335	211
863	1336	210
864	1337	208
865	1338	207
866	1340	205
867	1341	203
868	1343	202
869	1344	200
870	1346	199
871	1347	197
872	1348	196
873	1349	194
874	1350	192
875	1352	191
876	1353	189
877	1354	188
878	1355	186
879	1357	185
880	1359	183
881	1360	181
882	1361	180
883	1362	178
